n_estimators,max_depth,min_samples_split,max_iter,mse_score_1,mse_score_2,mse_score_3,mse_score_4,mse_score_5,mse_score_6,mse_score_7,mse_score_8,mse_score_9,mse_score_10,mean_mse_score,prev_1,prev_2,prev_3,prev_4,prev_5,prev_6,prev_7,prev_8,prev_9,prev_10,mean_prev,ptev_1,ptev_2,ptev_3,ptev_4,ptev_5,ptev_6,ptev_7,ptev_8,ptev_9,ptev_10,mean_ptev
1,,2,2,33.5404191696028,27.22644613182697,22.89406836638583,29.891264266870976,29.584913158234148,41.19641931205785,43.149128536984435,30.014410797763926,40.55863126090511,14.142719194814951,31.2198420195447,1.6905091472089773,1.232948334968808,1.8430436297142931,1.6142891007537736,1.0540870871429857,1.1984238428072327,1.6923370907800381,2.9793507233541052,1.0939343104285373,1.8810252263583578,1.6279948493517107,-0.6905091472089773,-0.23294833496880787,-0.8430436297142931,-0.6142891007537735,-0.054087087142985636,-0.19842384280723274,-0.6923370907800381,-1.9793507233541052,-0.09393431042853734,-0.8810252263583577,-0.6279948493517108
1,,2,3,41.14183687684968,31.091573107903393,26.847488720331928,26.872166405599412,29.202792232472405,40.44090515054505,49.603625043311055,26.06506734212121,45.42425109481859,11.582743041145365,32.827244901509815,1.966153689953705,1.3713718972014197,2.3499777158852413,1.4311384644334952,1.2680142281139193,1.020702408541758,1.9141755457879686,2.596421943410042,1.1654201053046824,1.4770887692871035,1.6560464767919334,-0.9661536899537051,-0.3713718972014197,-1.3499777158852415,-0.4311384644334951,-0.2680142281139194,-0.020702408541758043,-0.9141755457879686,-1.596421943410042,-0.16542010530468235,-0.47708876928710353,-0.6560464767919336
1,,2,10,23.89431082641545,42.20734696017283,25.23202429489802,34.01852532770274,31.081361967871242,32.01484295286833,18.670217052288177,22.047171585625623,46.91544696982377,15.50875554194291,29.15900034796091,1.138639604004896,1.9049918683907532,2.142525535932357,1.844765444127055,1.316173841854867,0.9109614525271829,0.722697781458028,2.1974058051865026,1.2653510942336375,1.954467114457986,1.5397979542173263,-0.13863960400489603,-0.9049918683907533,-1.1425255359323572,-0.8447654441270548,-0.3161738418548669,0.0890385474728171,0.277302218541972,-1.1974058051865024,-0.2653510942336375,-0.9544671144579859,-0.5397979542173266
1,,2,20,22.041947435108632,19.535103855102548,20.742796263716418,33.998639397850916,33.22351894017486,40.050942736152834,22.42864913789714,18.42215650255187,38.738208109641896,14.096225355620684,26.32781877338178,1.0156360865642446,0.8888568599625756,1.8894571250022991,1.7645802759071492,1.438168865035895,1.1800703010598745,0.8842143785327833,1.8246644005865837,1.0030542073387998,1.5599031939937475,1.3448605693983953,-0.01563608656424473,0.11114314003742441,-0.8894571250022991,-0.7645802759071493,-0.43816886503589497,-0.18007030105987465,0.11578562146721669,-0.8246644005865837,-0.0030542073387997424,-0.5599031939937475,-0.34486056939839527
1,,5,2,34.8520544587272,37.07304403761024,16.202066708905033,26.07513766485784,39.628378818005174,31.922297373511768,36.23946315245789,27.803087127012773,53.99260176703103,22.419226374415146,32.62073574825341,1.7206430602592333,1.6545138076259662,1.474342546686596,1.4222304334652636,1.5306144802911743,0.9941154916775446,1.440264799679053,2.742936635627804,1.4500298753389862,2.9986114578944014,1.742830258854602,-0.7206430602592333,-0.6545138076259662,-0.4743425466865961,-0.42223043346526357,-0.5306144802911743,0.005884508322455305,-0.4402647996790531,-1.742936635627804,-0.4500298753389863,-1.9986114578944014,-0.7428302588546023
1,,5,3,44.786904986177554,26.12291965193079,25.23673953350794,44.51678279006207,31.6217800158521,55.48383827350172,35.89448929218453,19.29138622760548,61.57645828664403,17.725765558052302,36.22570646155185,2.0925382652689404,1.1827027193235604,2.2988896155466465,2.35294753565116,1.3752224857833633,1.805022687277253,1.3723501384761856,1.8947776950871285,1.6556916217412065,2.184345866555205,1.8214488630710648,-1.0925382652689402,-0.1827027193235605,-1.2988896155466467,-1.3529475356511602,-0.3752224857833632,-0.805022687277253,-0.3723501384761856,-0.8947776950871283,-0.6556916217412064,-1.1843458665552051,-0.8214488630710649
1,,5,10,37.99799669625492,36.3614587525348,12.463360191915324,39.34014011671662,32.848942444549586,38.201571236608196,26.780080154560725,23.82391390971321,52.79422755615929,24.41035230049741,32.50220433595101,1.728799608321451,1.6198985254710365,1.1243930541399587,2.1133706334873787,1.4287337766075334,1.0549148860209152,0.9059277661183797,2.382957841767062,1.3644609435516322,2.332110719367565,1.6055567754852913,-0.728799608321451,-0.6198985254710364,-0.12439305413995881,-1.1133706334873787,-0.42873377660753337,-0.05491488602091521,0.09407223388162037,-1.382957841767062,-0.3644609435516321,-1.3321107193675652,-0.6055567754852913
1,,5,20,32.4005704180277,28.333302725440074,13.797425901455941,26.644726097273335,36.201696670878206,31.544101269870776,16.713563942712295,11.866840270482381,42.74683446117459,11.074306088675518,25.13233678459908,1.5209634151265685,1.2889143816078803,1.2493746836629067,1.4203249544314138,1.5596466298991152,0.7814472893821617,0.6174534606044765,1.1758628566591054,1.153774250560777,1.2543145279561956,1.2022076449890602,-0.5209634151265685,-0.2889143816078802,-0.24937468366290683,-0.4203249544314137,-0.5596466298991152,0.21855271061783835,0.3825465393955235,-0.1758628566591055,-0.1537742505607771,-0.2543145279561957,-0.2022076449890601
1,1.0,2,2,20.112872378142,20.742744948506864,12.128791417213819,20.23175573839672,19.902554194860542,23.283907162991337,16.489751938380053,11.2439302558638,33.56485123571507,16.484667604578842,19.418582687464905,0.9649303290710569,0.9123881138256964,1.022698652502219,1.0941363880916088,0.8349590845397407,0.6618273414615301,0.6407230879569459,1.1167042307249102,0.9002600931594235,1.7062851860744108,0.985491250740754,0.03506967092894309,0.08761188617430357,-0.02269865250221903,-0.09413638809160886,0.1650409154602594,0.3381726585384699,0.3592769120430542,-0.11670423072491021,0.09973990684057656,-0.7062851860744107,0.01450874925924579
1,1.0,2,3,20.05073739754728,23.08199808853921,12.940698336819874,19.781032511971468,24.375419595958686,26.324073514994133,15.119229353152788,11.604185435806176,37.65846107388049,10.679992438039667,20.161582774670975,0.9793574240703652,1.021073475436747,1.1497051828579168,1.02868192330422,0.9591330495089724,0.8020457709276921,0.6020095163350793,1.1335909635232269,0.9825580883202731,1.1107890127275215,0.9768944407012012,0.020642575929634855,-0.02107347543674688,-0.14970518285791673,-0.028681923304219842,0.04086695049102761,0.19795422907230786,0.3979904836649208,-0.13359096352322683,0.01744191167972689,-0.11078901272752154,0.023105559298798626
