n_estimators,max_depth,min_samples_split,max_iter,n_splits,mse_score_1,mse_score_2,mse_score_3,mse_score_4,mse_score_5,mse_score_6,mse_score_7,mse_score_8,mse_score_9,mse_score_10,mean_mse_score,prev_1,prev_2,prev_3,prev_4,prev_5,prev_6,prev_7,prev_8,prev_9,prev_10,mean_prev,ptev_1,ptev_2,ptev_3,ptev_4,ptev_5,ptev_6,ptev_7,ptev_8,ptev_9,ptev_10,mean_ptev,oob_1,oob_2,oob_3,oob_4,oob_5,oob_6,oob_7,oob_8,oob_9,oob_10,oob_score
100,,0.05,2,3,19.625092295867766,13.319943487059493,10.070627122065169,,,,,,,,14.338554301664145,0.7213390848275856,0.6306156899096168,0.6662862910646371,,,,,,,,0.6727470219339465,0.2786609151724144,0.3693843100903832,0.3337137089353629,,,,,,,,0.3272529780660535,17.5,12.7,17.5,,,,,,,,15.9
100,,0.05,2,5,17.863562553490592,19.89658922003231,8.142510173135854,9.605862937586394,8.506712381820321,,,,,,12.803047453213093,0.7325060343089366,0.75528645580947,0.4503821195529324,0.39757460379982534,0.6770543759776863,,,,,,0.6025607178897701,0.2674939656910635,0.24471354419053007,0.5496178804470676,0.6024253962001747,0.3229456240223138,,,,,,0.39743928211022994,24.0,11.3,9.1,11.0,19.9,,,,,,15.059999999999999
100,,0.05,2,10,18.335175163843772,18.916133666186468,11.457994595442196,30.49764211768291,5.749539353631129,7.284478786330741,8.528392532124037,11.08716198810342,11.538094003138044,4.986530707511765,12.838114291399446,0.7723669315166093,0.7142459892008698,0.5568811940569801,0.9543764797523867,0.2636068077587488,0.5212292905983342,0.30154057812808716,0.5369149753177035,0.7112691089719032,0.5012760303066314,0.5833707385608256,0.22763306848339074,0.28575401079913026,0.44311880594301983,0.04562352024761325,0.7363931922412512,0.4787707094016658,0.6984594218719129,0.4630850246822965,0.28873089102809685,0.4987239696933687,0.41662926143917456,18.4,16.8,11.4,20.4,12.7,13.4,12.1,14.2,13.8,12.5,14.570000000000002
100,,0.05,10,3,17.651790676656166,8.356955033704736,6.994546907041524,,,,,,,,11.001097539134141,0.6562153842066301,0.3954558240938485,0.4634832343375079,,,,,,,,0.5050514808793288,0.34378461579337,0.6045441759061515,0.5365167656624921,,,,,,,,0.4949485191206712,15.2,27.8,19.7,,,,,,,,20.900000000000002
100,,0.05,10,5,17.939030597244976,18.008610247739462,4.7097456998570415,5.146849790562934,6.293502747025819,,,,,,10.419547816486045,0.7018576410111267,0.6863048428887734,0.26296489415776714,0.20827944746256505,0.49478490947602927,,,,,,0.47083834699925226,0.2981423589888733,0.3136951571112267,0.7370351058422328,0.7917205525374349,0.5052150905239707,,,,,,0.5291616530007477,31.2,9.5,20.9,17.4,25.2,,,,,,20.84
100,,0.05,10,10,22.570331671535882,17.972679092556373,11.558664409601038,25.385171710199305,3.1567628488692403,4.95940483078011,4.145306227377604,5.861808575747715,6.35703395262865,5.874930441058667,10.78420937603546,0.8492975234314357,0.696222831671649,0.549198110063998,0.7924333462174535,0.11765003159702,0.34940280619633607,0.13474123561283352,0.311935469922956,0.38944427545756877,0.5724201025882784,0.4762745732759529,0.15070247656856425,0.30377716832835094,0.45080188993600195,0.20756665378254643,0.88234996840298,0.650597193803664,0.8652587643871664,0.688064530077044,0.6105557245424312,0.4275798974117217,0.5237254267240471,37.5,17.5,13.3,26.3,19.0,27.5,26.7,18.8,27.7,22.9,23.72
100,,0.1,2,3,19.20053084092471,11.344271192235354,8.908170474793996,,,,,,,,13.150990835984686,0.7073916436929041,0.5361723734839074,0.5864307071395612,,,,,,,,0.6099982414387909,0.292608356307096,0.4638276265160925,0.4135692928604388,,,,,,,,0.39000175856120906,19.5,14.5,13.3,,,,,,,,15.766666666666666
100,,0.1,2,5,17.679037186143326,19.5915351974303,7.544994041575031,8.558816443979708,7.446106878959756,,,,,,12.164097949617624,0.7241662107465172,0.7457621974046256,0.4200258683436778,0.35354500710561015,0.5913383648235047,,,,,,0.566967529684787,0.2758337892534828,0.25423780259537443,0.5799741316563222,0.6464549928943899,0.4086616351764953,,,,,,0.43303247031521286,20.8,13.1,17.8,7.6,16.9,,,,,,15.24
100,,0.1,2,10,18.039490130080704,17.92490507441872,10.67328488469121,29.285407978761512,5.050144015237968,5.709327108168694,7.4937277579486565,9.46016486153392,10.088812347757088,4.269265594369229,11.79945297529677,0.7511443202027197,0.6816895562856223,0.5191991267076084,0.9146828169265121,0.228446985592378,0.40981735227737437,0.27828543187569293,0.45331760599945925,0.6217723471783339,0.4430002417718981,0.53013557848176,0.24885567979728035,0.3183104437143777,0.48080087329239163,0.08531718307348787,0.771553014407622,0.5901826477226257,0.7217145681243071,0.5466823940005408,0.37822765282166615,0.5569997582281019,0.46986442151824015,19.8,19.4,10.8,19.9,13.8,18.0,15.8,16.6,15.7,17.5,16.73
100,,0.1,10,3,18.02965949275397,8.508225130389015,6.921398394353281,,,,,,,,11.153094339165422,0.6709784798169213,0.4029394997557147,0.45881892085161163,,,,,,,,0.5109123001414159,0.32902152018307873,0.5970605002442853,0.5411810791483884,,,,,,,,0.4890876998585842,11.6,28.8,21.6,,,,,,,,20.666666666666668
