n_estimators,max_depth,min_samples_split,max_iter,n_splits,mse_score_1,mse_score_2,mse_score_3,mse_score_4,mse_score_5,mse_score_6,mse_score_7,mse_score_8,mse_score_9,mse_score_10,mean_mse_score,prev_1,prev_2,prev_3,prev_4,prev_5,prev_6,prev_7,prev_8,prev_9,prev_10,mean_prev,ptev_1,ptev_2,ptev_3,ptev_4,ptev_5,ptev_6,ptev_7,ptev_8,ptev_9,ptev_10,mean_ptev,oob_1,oob_2,oob_3,oob_4,oob_5,oob_6,oob_7,oob_8,oob_9,oob_10,oob_score
100,,0.05,2,3,15.29107987104935,19.630104741408058,17.52799996126313,,,,,,,,17.483061524573515,0.7853609347519043,0.8522597038283307,1.0352026887507928,,,,,,,,0.8909411091103426,0.21463906524809576,0.1477402961716693,-0.03520268875079289,,,,,,,,0.10905889088965738,42.0,46.4,46.8,,,,,,,,45.06666666666666
100,,0.05,2,5,14.021142133242325,15.52597425141691,24.24981931525049,19.457406715085025,10.716736195738504,,,,,,16.794215722146653,0.8682062916385643,0.6456174912477209,0.8634369763586461,1.0288104845105057,1.0260447208733798,,,,,,0.8864231929257634,0.1317937083614356,0.3543825087522791,0.13656302364135392,-0.02881048451050566,-0.026044720873379803,,,,,,0.11357680707423665,43.6,39.2,48.7,44.3,47.3,,,,,,44.620000000000005
100,,0.05,2,10,18.940346140734686,3.720843963810831,19.64614119913015,14.229099381935864,18.2781904171851,28.996006638102305,17.50612117847401,22.790355538200284,13.842835473753327,8.349212600355624,16.629915253168218,0.7311351206756309,0.5249043437433661,0.6794601726103345,0.4854606564144768,0.8758384587542949,0.8293987433781318,0.8465073301168311,1.0713652777982152,2.5164052163659565,0.7350577665672196,0.9295533086424458,0.2688648793243691,0.47509565625663386,0.32053982738966547,0.5145393435855232,0.12416154124570505,0.1706012566218682,0.15349266988316893,-0.07136527779821512,-1.5164052163659565,0.26494223343278045,0.07044669135755426,46.3,45.1,45.3,44.2,49.4,48.2,43.4,48.0,49.5,43.2,46.26
100,,0.05,10,3,15.12236538891112,18.588070945616654,15.038644787313695,,,,,,,,16.24969370728049,0.7757487899988108,0.8021004207399468,0.8703527070938262,,,,,,,,0.8160673059441946,0.22425121000118917,0.1978995792600532,0.12964729290617383,,,,,,,,0.1839326940558054,69.0,73.1,71.2,,,,,,,,71.10000000000001
100,,0.05,10,5,12.277407124361936,16.168353999266348,23.751327321634346,18.887634433412174,8.593560037889969,,,,,,15.935656583312953,0.7211971866167556,0.6738682157784649,0.8399603122141083,0.9123500207683418,0.8171234173673361,,,,,,0.7928998305490014,0.27880281338324436,0.3261317842215351,0.16003968778589173,0.08764997923165821,0.18287658263266396,,,,,,0.20710016945099868,71.5,68.1,75.2,68.5,71.4,,,,,,70.94000000000001
100,,0.05,10,10,17.609892255470136,5.059708612443896,19.71673635472015,11.944545884473785,16.33608379483022,29.363750474618794,18.85440085825243,18.77230993122659,9.826359642750685,7.794772167383299,15.527855997616996,0.6539449553761969,0.6803034468859596,0.7015161246793915,0.45571146123588036,0.8036512832147118,0.8505124318165703,0.9618592786548631,0.8514486721742708,1.5564013663421474,0.6754393323488245,0.8190788352728816,0.34605504462380304,0.3196965531140404,0.2984838753206085,0.5442885387641196,0.19634871678528823,0.14948756818342965,0.03814072134513693,0.14855132782572925,-0.5564013663421473,0.3245606676511755,0.18092116472711836,71.0,72.2,71.8,67.4,75.5,69.4,70.8,70.0,71.6,68.5,70.82000000000001
100,,0.1,2,3,14.39324082848557,19.523572535352397,16.934669960957027,,,,,,,,16.950494441598334,0.7413089280716453,0.847099579667482,0.9943193517512355,,,,,,,,0.8609092864967876,0.2586910719283547,0.15290042033251802,0.005680648248764512,,,,,,,,0.13909071350321242,47.1,56.1,51.3,,,,,,,,51.5
100,,0.1,2,5,12.24596713976241,15.243536854052767,23.459193621623392,19.338351278814113,10.27728406119046,,,,,,16.112866591088626,0.7437747169962986,0.6350093346144017,0.8350114016687168,1.0287952312080673,0.979982836631791,,,,,,0.8445147042238551,0.2562252830037014,0.3649906653855983,0.16498859833128318,-0.028795231208067276,0.020017163368209037,,,,,,0.15548529577614495,49.8,46.3,56.3,50.4,51.4,,,,,,50.839999999999996
100,,0.1,2,10,18.189895568418155,4.017067041971605,19.940639595363645,13.689547014278125,18.296792600123688,28.317166397358047,16.645377472434287,21.162056170592557,13.507317436622511,7.361851296513776,16.11277105936764,0.6838873408543874,0.5663199628681876,0.6810831264061575,0.4836601522675607,0.8725506925379413,0.810864064814402,0.9029363344346987,0.9969826752852952,2.4384335170532743,0.6742504866720175,0.9110968353193922,0.3161126591456126,0.43368003713181236,0.3189168735938424,0.5163398477324393,0.1274493074620587,0.189135935185598,0.09706366556530135,0.003017324714704889,-1.4384335170532743,0.3257495133279826,0.08890316468060784,52.0,50.5,50.5,48.2,54.6,52.4,52.0,52.6,54.9,47.2,51.489999999999995
100,,0.1,10,3,14.505050081367823,18.563402712729133,15.0212614863567,,,,,,,,16.02990476015122,0.7432198813473366,0.8028331748082976,0.8526470233073673,,,,,,,,0.7995666931543338,0.25678011865266337,0.19716682519170234,0.14735297669263273,,,,,,,,0.20043330684566615,69.3,72.7,68.8,,,,,,,,70.26666666666667
100,,0.1,10,5,12.038974777308342,15.992965784028291,23.70566170751734,19.32162246633216,8.559394327411987,,,,,,15.923723812519626,0.708831070670104,0.6666981307245851,0.8370066826401792,0.9039793784853567,0.8148085337331606,,,,,,0.7862647592506771,0.291168929329896,0.33330186927541494,0.16299331735982076,0.0960206215146433,0.18519146626683933,,,,,,0.21373524074932285,69.8,67.5,75.4,68.3,70.1,,,,,,70.22
100,,0.1,10,10,17.346446130251998,4.560849391965459,20.111654540785242,11.468763042259216,16.378602739807096,28.666163323949487,18.79653303797735,19.133512346854452,9.577353025646103,8.130325832593009,15.41702034120894,0.6193645690506284,0.625788005020809,0.7148710170173159,0.4773105582392805,0.8078741966848356,0.8281264360689079,0.9482433042010053,0.8641226343411577,1.5254894550301457,0.6899001784207048,0.8101090354074791,0.3806354309493716,0.37421199497919094,0.2851289829826841,0.5226894417607195,0.19212580331516443,0.17187356393109215,0.05175669579899468,0.13587736565884231,-0.5254894550301457,0.3100998215792952,0.18989096459252094,70.4,70.6,69.3,66.6,75.4,69.3,70.6,69.7,70.7,68.5,70.11
100,,0.15,2,3,14.17135090831296,18.633176785932353,16.887973195474906,,,,,,,,16.564166963240073,0.7330260982794183,0.8091033539721958,0.9888298492209885,,,,,,,,0.8436531004908675,0.2669739017205816,0.19089664602780415,0.011170150779011555,,,,,,,,0.15634689950913244,51.4,55.5,53.7,,,,,,,,53.53333333333334
100,,0.15,2,5,11.950250193910712,15.28049293325791,23.392335733008654,19.155686503911074,10.040671947640762,,,,,,15.96388746234582,0.7272966560458649,0.6364842133728735,0.831020943723228,0.9891974808114341,0.9535864565332819,,,,,,0.8275171500973364,0.2727033439541351,0.3635157866271265,0.168979056276772,0.010802519188565889,0.04641354346671814,,,,,,0.17248284990266355,54.0,49.3,57.8,53.0,55.3,,,,,,53.879999999999995
