n_estimators,max_depth,min_samples_split,max_iter,n_splits,mse_score_1,mse_score_2,mse_score_3,mse_score_4,mse_score_5,mse_score_6,mse_score_7,mse_score_8,mse_score_9,mse_score_10,mean_mse_score,prev_1,prev_2,prev_3,prev_4,prev_5,prev_6,prev_7,prev_8,prev_9,prev_10,mean_prev,ptev_1,ptev_2,ptev_3,ptev_4,ptev_5,ptev_6,ptev_7,ptev_8,ptev_9,ptev_10,mean_ptev,oob_1,oob_2,oob_3,oob_4,oob_5,oob_6,oob_7,oob_8,oob_9,oob_10,oob_score
1,,2,2,3,26.85275650366218,46.336275439831255,32.72145153959037,,,,,,,,35.30349449436127,1.4581429196095217,2.004298902002927,1.9134158577294829,,,,,,,,1.7919525597806436,-0.45814291960952164,-1.004298902002927,-0.9134158577294827,,,,,,,,-0.7919525597806438,-4096.5,-3759.8,-3665.9,,,,,,,,-3840.7333333333336
1,,2,2,5,31.649912397199415,28.91139756174878,35.410373706317074,35.54332585907642,19.58338675342502,,,,,,30.21967925555334,2.517759955028748,1.1974787202294537,1.255315453293055,2.0584464756406375,1.8793245190373844,,,,,,1.7816650246458559,-1.5177599550287475,-0.19747872022945376,-0.25531545329305494,-1.0584464756406375,-0.8793245190373844,,,,,,-0.7816650246458556,-3743.1,-4082.7,-4516.0,-4638.1,-3774.3,,,,,,-4150.84
1,,2,2,10,22.650775064375885,14.77205345935182,15.366750270505337,20.53795943923532,33.419900915955026,34.4742857754523,26.513136618620905,32.13817863908156,27.532446327462985,18.063293110183167,24.54687796202243,1.7636158115080096,2.0062535436215594,0.5677679935000378,0.8741369694404034,1.682850496091767,0.9852771137265204,1.8167337539542268,1.4911776489187554,5.465695364643518,1.5113629198314131,1.816487161523621,-0.7636158115080096,-1.0062535436215594,0.43223200649996213,0.1258630305595966,-0.682850496091767,0.014722886273479664,-0.8167337539542266,-0.49117764891875537,-4.465695364643518,-0.511362919831413,-0.816487161523621,-4321.8,-4187.2,-4106.7,-4216.8,-4223.6,-4581.4,-4144.8,-4431.1,-4119.3,-3326.2,-4165.89
1,,2,3,3,23.54712620058271,29.504881484116382,33.207325735725114,,,,,,,,28.753111140141403,1.2333493105989064,1.2798211201434304,1.9813660095992434,,,,,,,,1.4981788134471934,-0.23334931059890648,-0.27982112014343047,-0.9813660095992432,,,,,,,,-0.4981788134471934,-5920.8,-4957.6,-3989.8,,,,,,,,-4956.066666666667
1,,2,3,5,22.3657567466135,30.046442791899118,29.422364147159822,36.02410782232634,16.468295525968163,,,,,,26.86539340679339,1.5054591732817906,1.2519079765147598,1.0450212756502333,2.284477980166412,1.5782996597543328,,,,,,1.5330332130735058,-0.5054591732817905,-0.2519079765147598,-0.04502127565023317,-1.2844779801664121,-0.5782996597543328,,,,,,-0.5330332130735057,-4585.7,-5419.1,-5084.3,-4342.1,-4316.7,,,,,,-4749.58
1,,2,3,10,23.64797711614686,14.667255684551575,25.71327977532521,28.800564366951317,24.03115019214793,33.4560103502581,26.458099608685963,25.372056256577157,18.090264065591686,15.896032007022043,23.61326894232578,1.6424850051722586,1.591304441540623,0.8856059738219981,1.0064624044619432,1.1505142238511885,0.9717526333979344,1.5850253312452844,1.1905123834257643,3.4887480627970024,1.433138220829201,1.4945548680543197,-0.6424850051722586,-0.5913044415406229,0.11439402617800189,-0.006462404461943303,-0.1505142238511885,0.02824736660206564,-0.5850253312452843,-0.19051238342576418,-2.4887480627970024,-0.433138220829201,-0.49455486805431975,-4223.1,-4434.3,-4310.1,-4317.0,-4278.4,-4384.6,-4578.8,-5817.2,-4021.5,-5176.9,-4554.1900000000005
1,,2,10,3,22.396805616788114,21.989475327910863,38.64780690487254,,,,,,,,27.678029283190508,1.2112727407776884,0.9320988802417083,2.262676638588659,,,,,,,,1.4686827532026854,-0.21127274077768834,0.06790111975829166,-1.2626766385886594,,,,,,,,-0.4686827532026854,-5673.3,-6056.4,-4130.9,,,,,,,,-5286.866666666667
1,,2,10,5,19.52463417036505,16.07884511549885,26.296604739268787,19.36591486511743,16.32924530221787,,,,,,19.519048838493596,1.173034227320066,0.6697574494146857,0.9361701436859833,0.9932780541370859,1.4923077473977213,,,,,,1.0529095243911084,-0.17303422732006596,0.33024255058531427,0.06382985631401666,0.006721945862914092,-0.49230774739772126,,,,,,-0.052909524391108444,-7116.2,-6426.4,-9109.5,-6596.7,-4917.3,,,,,,-6833.219999999999
1,,2,10,10,23.49676016224057,9.204147607396104,19.203952417805883,30.469492573853362,15.99792893276674,37.683240753887816,43.579880700084495,22.635872601187106,17.94657811534516,7.066686601064679,22.728454046563193,0.9720963273198866,1.2863907796680663,0.6715834054411064,1.1902487691233714,0.7728464320917477,1.0353384848935376,2.3440557970467224,1.0621489276503564,3.220337227205639,0.6436960729095658,1.3198742223350002,0.027903672680113387,-0.2863907796680662,0.3284165945588936,-0.1902487691233713,0.22715356790825222,-0.03533848489353769,-1.3440557970467226,-0.06214892765035644,-2.220337227205639,0.3563039270904342,-0.319874222335,-6724.3,-7108.8,-6714.1,-5844.7,-7228.0,-5268.7,-5729.6,-6576.3,-5821.9,-7129.0,-6414.54
1,,2,20,3,17.683732094445578,20.484783114159285,28.587522839152182,,,,,,,,22.252012682585683,0.905905752207653,0.8890612547156268,1.605896281078175,,,,,,,,1.1336210960004849,0.09409424779234694,0.11093874528437324,-0.605896281078175,,,,,,,,-0.1336210960004849,-10736.1,-9637.8,-4293.3,,,,,,,,-8222.4
